Sentences,Labels
did mr. magoo flog tv general electric ,ENTY:other
are words the canadian national anthem ,DESC:desc
is name the jewish alphabet ,ENTY:termeq
served inspiration the schoolteacher portrayed robin williams  dead poets society  ,HUM:ind
is columbia tristar s phone number ,NUM:code
name five positions are the line succession the presidency .,HUM:title
one the original seven mercury program astronauts not fly any the mercury flights ,HUM:ind
is best known villain the 165 gunpowder plot ,HUM:ind
is capital burkina faso ,LOC:city
continent bolivia ,LOC:other
was muhammad ali stripped his title barred boxing 1967 ,DESC:reason
killed people  hitler stalin ,HUM:ind
caused shea & gould close l.a. office ,DESC:reason
s only mammal can t jump ,ENTY:animal
u.s. state the blondes ,LOC:state
war saw battles parrot s beak black virgin ,ENTY:event
was u.s. highway death toll 1969 ,NUM:count
does name kelly mean ,DESC:def
is phalanx ,DESC:def
mustachioed comedian portrayed frankie north alaska ,HUM:ind
does of utilities cost monopoly ,NUM:money
actor world war ii airman a $5  0 bounty put his head hermann goering ,HUM:ind
does e.g. stand ,ABBR:exp
name the medical condition which baby is born without brain ,ENTY:dismed
do storms form ,DESC:manner
is nicolo paganini ,HUM:desc
city often called insurance capital the world ,LOC:city
are three animals sheila burnford s incredible journey ,ENTY:animal
portrayed dracula hammer studios  films ,HUM:ind
name one the seven wonders the ancient world .,ENTY:other
were fish first believed be found earth ,NUM:date
president s favorite biblical quotation   come now  let us reason together  .,HUM:ind
many elevators you ride reach top floor the empire state building ,NUM:count
name food company traveled soviet georgia film series ads .,HUM:gr
country sir edmund hillary born ,LOC:country
s infant seal called ,ENTY:animal
was proper laugh-in respones   say goodnight  dick  ,DESC:desc
city john f. kennedy nominated president ,LOC:city
long a dog sleep ,NUM:period
1963 joseph l. mankiewicz film cost $28 million ,ENTY:cremat
japanese electronics company named a coastal city northeast tokyo ,HUM:gr
can be fined having dog a beach ,NUM:money
did battle the bulge take place ,LOC:other
much will california in year 2000 ,NUM:count
mystery writer penned  ...the glory was greece  the grandeur was rome  ,HUM:ind
state full milk honey the destination the grapes wrath ,LOC:state
is tallest building japan ,LOC:other
is sinn fein s headquarters ,LOC:other
name li l abner s favorite indian drink .,ENTY:food
are important events the 1830 s ,ENTY:event
iraqis launched attack kuwait what day ,NUM:date
letter adorns flag rwanda ,ENTY:letter
did 8  cd nns vbp vb nnp pos nn .,ENTY:other
is god ,DESC:def
country s northernmost city darwin ,LOC:country
sound olympia  washington  overlook ,LOC:other
tv show chronicled lives katy holstrum congressman glen morley ,ENTY:cremat
kentucky city calls the horse center america ,LOC:city
many penny-farthings there a trivial pursuit game board ,NUM:count
s most abundant element the sun ,ENTY:substance
european country boasts city furth  found the rivers rednitz pegnitz converge ,LOC:country
u.s. state dixville notch ,LOC:state
was cisalpine republic  1797-185  ,LOC:other
is largest shopping mall the world ,LOC:other
is protagonist s name dostoevski s  idiot  ,HUM:ind
penalty space lies baltic avenue reading railroad a monopoly board ,ENTY:other
presidential press secretary dismissed watergate a third-rate burglary attempt ,HUM:ind
is meerkat ,DESC:def
was jean nicolet ,HUM:desc
kind animal winnie pooh ,ENTY:animal
of are authors ,HUM:ind
s international radio code word the letter b ,ENTY:word
was original humpty dumpty ,HUM:ind
is cache memory ,DESC:def
aspartame also known what ,ENTY:termeq
is location the orange bowl ,LOC:other
is president nixon s birthday ,NUM:date
is origin the midwest slang   re darn tootin  ,DESC:desc
whose cupboard bare ,HUM:ind
are seven seas ,LOC:other
does ibm stand ,ABBR:exp
is difference jazz blues ,DESC:desc
is c programming language ,DESC:def
s name popeye s adopted son ,HUM:ind
invented vacuum cleaner ,HUM:ind
is  borrow pit  ,DESC:def
2th-century fictional character attends pencey prep school ,HUM:ind
many people the usa say number one source information the newspaper ,NUM:count
does shakespeare s antonio borrow 3  0 ducats ,HUM:ind
country known  big bear  ,LOC:country
 melts mouth  in your hands  .,ENTY:food
many times day you take prescription marked  q.i.d .  ,NUM:count
is origin the atom ,DESC:desc
is voyager project manager ,HUM:ind
radio stations air jim bohannon radio talk show ,HUM:gr
two commanders directed forces the battle el alamein ,HUM:ind
name creator  muppets  .,HUM:ind
do e-mail someone aol.com yahoo.com ,DESC:manner
replies  know  princess leia s confession  love  the empire strikes back ,HUM:ind
is meaning the name ella ,DESC:def
s home the rockettes ,LOC:other
can find the information need know the english civil war  1642-1649  ,LOC:other
is name the firm makes spumante ,HUM:gr
sport played the largest field ,ENTY:sport
won 1967 academy award best actor ,HUM:ind
is death ,ENTY:other
name first private citizen fly space .,HUM:ind
was football star elroy hirsch s nickname ,HUM:ind
singer sings  oh boy  ,HUM:ind
much pizza americans eat a day ,NUM:count
is website the usa journal ,LOC:other
army s motto blood fire ,HUM:gr
kind patent ermal fraze get 1963 ,ENTY:other
are hearing you put seashell your ear ,DESC:desc
are haunted houses popular ,DESC:reason
gender bigger thighs ,ENTY:other
u.s. state the second-longest coastline ,LOC:state
state s home the buffalo bill historical center ,LOC:state
fast cheetahs run ,NUM:speed
is ray bradbury s illustrated man illustrated ,ENTY:other
fast a 45mhz processor ,NUM:speed
kind puzzle first appeared the u.s. the new york world december 21  1913 ,ENTY:other
count alexandre dumas write ,HUM:ind
are odds giving birth twins ,NUM:perc
is largest natural lake pennsylvania ,LOC:other
far london uk california ,NUM:dist
name two mystical ravens odin at command .,ENTY:animal
was species winnie pooh ,ENTY:animal
is virus hiv ,DESC:def
many years old benny carter ,NUM:count
hermann hesse book gave name a rock group ,ENTY:cremat
does santa fe trail begin end ,LOC:other
book the follow-up future shock ,ENTY:cremat
african animals known the big five ,ENTY:animal
is alphabet latin ,ENTY:letter
is fear frogs ,ENTY:dismed
city canada the least-populated ,LOC:city
old stevie wonder ,NUM:period
was first taiwanese president ,HUM:ind
is luke skywalker s father ,HUM:ind
does dipsomaniac crave ,ENTY:other
is definition the term  weapons system  ,DESC:def
are christopher marlowe s shakespeare s literary contributions english literature ,DESC:desc
is nero wolfe s favorite drink office hours ,ENTY:food
is first personal computer company ,HUM:gr
is most efficient way start barbeque ,ENTY:techmeth
was jane goodall ,HUM:desc
are braille things the atm machines people drive ,DESC:reason
is isle man ,LOC:other
book aaron hass write ,ENTY:cremat
was death toll the eruption mount pinatubo ,NUM:other
will millennium officially begin ,NUM:date
created comic strip   garfield  ,HUM:ind
vietnamese terrorist now un delegate doonesbury ,HUM:ind
is real time processing ,DESC:def
do call imaginary line along top the rocky mountains ,LOC:other
country s capital lagos ,LOC:country
does ray bradbury s chronicles take place ,LOC:other
is current prime minister president russia ,HUM:ind
established viking colony greenland 985 ,HUM:ind
was distinguishing mark the  little rascals  dog ,ENTY:symbol
is latitude longitude el paso  texas ,NUM:other
can get information cystic fibrosis ,LOC:other
did honecker rule ,LOC:other
is theory equivalence states ,DESC:def
does philatelist collect ,ENTY:other
is life span the average monkey ,NUM:period
many member states in un ,NUM:count
shot killed while painting wheatfield crows ,HUM:ind
will happen sodium put water ,DESC:desc
s meaning uol ,DESC:def
future president became senate majority whip harry truman ,HUM:ind
was architect central park ,HUM:ind
operating system runs ibm-compatible machines ,ENTY:product
are dimensions an ice hockey goal ,NUM:dist
was cnn s first broadcast ,NUM:date
are signs a country going a recession ,ENTY:symbol
is circumorbital hematoma ,DESC:def
african country governed ouagadougou ,LOC:country
was christian name the title character our miss brooks ,HUM:ind
hard-of hearing artist painted sunflowers ,HUM:ind
were yankee s frequent enemies ,HUM:gr
wrote sons lovers ,HUM:ind
is english translation the word  caliente  ,ENTY:termeq
handicraft requires to interlace warp weft ,ENTY:techmeth
french seaport claims be home wines ,LOC:city
long it take sunlight reach earth ,NUM:period
many milliseconds a second ,NUM:count
cherokee indian gave name a tree ,HUM:ind
were camcorders introduced malaysia ,NUM:date
is chance conceiving quadruplets ,NUM:perc
was star leave to beaver ,HUM:ind
countries the largest armed forces the world ,LOC:country
was william f. cody s better-known name ,HUM:ind
do increase biceps  size ,DESC:manner
did richard nixon tender resignation ,HUM:ind
was thucydides ,HUM:desc
is element strontium purified ,DESC:manner
of following rock n roll stars a  star  hollywood boulevard ,HUM:ind
are tonsils ,DESC:reason
molecules include fluorine  sodium magnesium ,ENTY:substance
was name the ball game played the mayans ,ENTY:sport
was sequel the moon s balloon ,ENTY:cremat
is exchange rate australian american money ,NUM:money
is origin the word  posh  ,DESC:desc
can anyone tell a female sexual intercourse ,DESC:manner
many states richard nixon carry 1972 ,NUM:count
basketball maneuver bert loomis invent ,ENTY:techmeth
is good book read people hate read ,ENTY:cremat
many shillings than 2 there a guinea ,NUM:count
does tarantula eat ,ENTY:food
are three secondary colors ,ENTY:color
does name  sabrina  mean ,DESC:def
took as conductor the boston pops arthur fiedler s long reign ,HUM:ind
were trials called followed world war ii ,ENTY:event
is hebephrenia ,DESC:def
nazi leader killed in jail just he to executed a war criminal ,HUM:ind
famous events happened march 27 ,ENTY:event
company claimed be  world s biggest toy store  ,HUM:gr
brand number graces black label a bottle jack daniel s ,NUM:other
do call sons daughters my first cousins ,ENTY:termeq
were causes the civil war ,DESC:reason
are maid-rites ,DESC:def
city terrorized dracula the night stalker ,LOC:city
can prevent ,DESC:manner
do names andrew christina mean ,DESC:def
chocolate bar created frank mars his wife often called milky way peanuts ,ENTY:food
is fastest guitarist ,HUM:ind
do camels store their humps ,ENTY:other
is name the second space shuttle ,ENTY:veh
is best hospital orthopedics the country ,LOC:other
are perfect tenses ,DESC:def
is commonly considered fifth sense ,DESC:def
was another name east germany ,ENTY:termeq
s second-biggest-selling magazine america ,ENTY:cremat
betrayed norway the nazis ,HUM:ind
took toys donated the doodyville orphans  fund kept for ,HUM:ind
is bourdon tube ,DESC:def
kind a sports team the wisconsin badgers ,ENTY:sport
were picts ,HUM:ind
do caroll baker  tammy grimes  debbie reynolds  judy garland have common ,DESC:desc
is film noir ,DESC:def
is stationed camp swampy the comic strips ,HUM:ind
what year china the republic korea establish diplomatic relations ,NUM:date
causes tuberculosis ,DESC:reason
tall the giraffe ,NUM:dist
actor dressed as santa claus had once-a-year affair actress shelley winters every christmas many years ,HUM:ind
animal heat-seeking missile called the sidewinder named ,ENTY:animal
long it take stanley find livingstone ,NUM:period
much nation s children the ages two eleven watch  the simpsons  ,NUM:count
lake sheboygan ,LOC:other
are baseball team s firemen ,DESC:def
is fear color ,ENTY:dismed
nantucket shipwreck killed divers exploring than 52 people sank ,ENTY:veh
are two largest birds earth ,ENTY:animal
name four stories contained edith wharton s  old new york . ,ENTY:cremat
is largest lake north america ,LOC:other
many people died of smoking problem 1997 ,NUM:count
is chronic constipation symptom ,ENTY:dismed
wrote look love viewing ursula andress ,HUM:ind
is name the american swimmer won seven gold medals the 1972 olympics ,HUM:ind
claims have greatest show earth ,HUM:ind
is head start ,DESC:def
honeymooners actress television magazine name 1953 s promising star ,HUM:ind
can t women serve the navy board submarines ,DESC:reason
did yalta conference lead ,ENTY:other
dog dubbed mortgage lifter ,ENTY:animal
is saltpeter ,DESC:def
s difference j.d. ll.m. ,DESC:desc
kind organization  last chance animals  ,HUM:gr
was role the medieval guild ,HUM:ind
silly putty invented whom ,HUM:ind
should oven set for baking peachy oat muffins ,ENTY:other
can someone become federal agent ,DESC:manner
invented paper clip ,HUM:ind
did lauren bacall marry her husband humphrey bogart died ,HUM:ind
many times his 16-year national basketball associaton career john havlicek member the all-star team ,NUM:count
city state the gay men live ,LOC:city
shea gould an office los angeles how long closing ,NUM:period
word occurs 46  227 times the bible ,ENTY:word
can be happy ,DESC:manner
would someone go becoming organ donor ,DESC:manner
year degas create bronze sculpture   fourth position front  ,NUM:date
composer awarded medal honor franklin d. roosevelt ,HUM:ind
many url extensions there  what they ,NUM:count
long intercourse it take find if are pregnant ,NUM:period
does u.s.s.r. stand ,ABBR:exp
created fantastic four  hulk  thor ,HUM:ind
is fear gravity ,ENTY:dismed
is composer  canon d major  ,HUM:ind
did nt rocky marciano in pro boxing career ,DESC:desc
are european american eels born ,LOC:other
was author the novel  far the madding crowd  ,HUM:ind
is definition  graphic details  ,DESC:def
was  america s recessed-filter cigarette  ,ENTY:product
kind dog scooby doo ,ENTY:animal
is function the appendix ,DESC:reason
department store heir responsible raising three-ton safe the underwater wreckage the andrea doria ,HUM:ind
sex twice likely contract leprosy ,ENTY:other
was first town be chartered vermont ,LOC:city
state the longest great lakes shoreline ,LOC:state
u.s. state ends a g ,LOC:state
many varieties twins there ,NUM:count
is cartesian diver ,DESC:def
are largest libraries the us ,LOC:other
many people live the falklands ,NUM:count
was camp david named ,HUM:ind
document president andrew johnson want copy placed head upon his burial ,ENTY:cremat
portrayed  man without face  the movie the name ,HUM:ind
happened dogtown 1899 make year remembered ,DESC:desc
wheel blaise pascal invent a search perpetual motion ,ENTY:other
much money the minimum wage 1991 ,NUM:money
what year the first patent the pull-tab opener cans obtained ,NUM:date
country boasts most dams ,LOC:country
is regular price ,NUM:money
metropolis landmark first introduced the superman cartoons the 1940 s ,LOC:other
can one find mozambique ,LOC:other
do recognize anorexia ,DESC:manner
mary tyler moore show regular came the world tadeus wladyslaw konopka ,ENTY:cremat
what city the us declaration independence located ,LOC:city
is largest variety cactus ,DESC:def
won first world series ,HUM:ind
did aaron hass write ,ENTY:cremat
is samuel pickering ,HUM:desc
was business the animated sky hawks ,HUM:gr
was credited saying   never met man did nt like  ,HUM:ind
overalls named dungri  suburb bombay ,ENTY:other
do rooftops give steam a big rainstorm ,DESC:reason
nationality jackson pollock ,LOC:country
much the earth s surface permanently frozen ,NUM:count
is connection new krypton daxam ,ENTY:other
was queen victoria born ,NUM:date
many people executed abraham lincoln s assassination ,NUM:count
must las vegas blackjack dealer when reaches 16 ,DESC:desc
is worth seeing reims ,LOC:other
type performer ileana cotrubas ,ENTY:other
was yemen reunified ,NUM:date
line candy products included super skrunch peanut butter oompas ,ENTY:food
did anglican church split the vatican ,DESC:reason
organization a security council ,HUM:gr
would find price different organs have donated ,DESC:manner
mexican leader shot dead 1923 ,HUM:ind
does necrosis mean ,ABBR:exp
is magnetar ,DESC:def
feud ended a marriage kentucky march 21  1891 ,ENTY:event
color the stripe along side a coho salmon ,ENTY:color
is federal minimum wage ,NUM:money
mississippi nicknamed ,ENTY:termeq
are unemployment statistics the years 1965 1990 ,NUM:other
is santa lucia ,LOC:other
female painter produced primitives rural new england life ,HUM:ind
are names two old men appear the serial tv muppets show ,HUM:ind
war saw battles parrot s beak black virgin ,ENTY:event
should yell hail taxi madrid ,DESC:desc
is horsepower the shuttle boosters ,NUM:other
year apartheid start ,NUM:date
created big ben ,HUM:ind
city found the city oz ,LOC:city
ever happened the popular yale lock company ,DESC:desc
name marvel team loosely based dc s justice league america ,HUM:gr
did 16th-century aztec athlete get putting rubber ball a ring ,ENTY:other
populous state covers 49  576 square miles ,LOC:state
college football team knute rockne build a power ,HUM:gr
what state there 11 million gallon oil spill ,LOC:state
did aldous huxley write   brave new world  ,NUM:date
country the ancient romans refer as hibernia ,LOC:country
what high-risk business venture jimmy greek bet lose ,HUM:gr
do chefs call master spice ,ENTY:food
is abbreviation general motors ,ABBR:abb
is devo hat ,DESC:def
long the longest hiccup attack ,NUM:period
kind weapons used medieval warfare ,ENTY:other
many people live tokyo ,NUM:count
fruit-topped actress known the brazilian bombshell ,HUM:ind
are birds descendents ,ENTY:animal
the tutankhamun exhibit on display the u.s.  moving company transported ,HUM:gr
kevin costner movie involves sioux indians ,ENTY:cremat
played title role my favorite martian ,HUM:ind
does scientific calculator work ,DESC:manner
is fear fur ,ENTY:dismed
invented game scrabble ,HUM:ind
part their attire  pothooks  cowboys the old west ,ENTY:other
did humans first begin write history seriously ,NUM:date
do have go school ,DESC:reason
is toulmin logic ,DESC:def
corgi a kind what ,ENTY:other
city u.s. experienced the most growth recently ,LOC:city
is dangling participle ,DESC:def
tokyo street glitters famed department stores nightclubs ,LOC:other
was average life expectancy the stone age ,NUM:period
mighty mouse conceived  was original name ,HUM:ind
is origin the peace symbol ,DESC:desc
group starred movie rock around the clock ,HUM:gr
many u.s. presidents assassinated queen victoria s reign ,NUM:count
was first flush toilet invented ,NUM:date
is nathan hamill s role the new star wars prequel ,HUM:ind
many disks each player in four-handed game crokinole ,NUM:count
old the sun ,NUM:period
percentage children ages two eleven watch  the simpsons  ,NUM:perc
can find list  fax or email  addresses human resource departments massachusetts ,DESC:manner
do write my congressman ,DESC:manner
many years ago led zeppelin release last album ,NUM:count
is term a group geese ,ENTY:termeq
many people randy craft convicted killing ,NUM:count
was name the famous battle texas mexico ,ENTY:event
country if you woo the wu dialect ,LOC:country
do call poker hand five cards the suit ,ENTY:termeq
new york yankee known the iron horse ,HUM:ind
is considered first lady the american stage ,HUM:ind
penned   neither borrower a lender  ,HUM:ind
is moxie ,DESC:def
was first sam spade novel ,ENTY:cremat
song patti page set people dancing in 1950 ,ENTY:cremat
headed hitler s infamous gestapo ,HUM:ind
south american city features exclusive copacabana beach ipanema ,LOC:city
german city italians call monaco bavaria ,LOC:city
island group contains jersey  guernsey  sark herm ,LOC:other
is fear strong light ,ENTY:dismed
is person called likes fire ,HUM:ind
was helium first discovered  hence name ,LOC:other
is best way overcome fear ,ENTY:techmeth
name south african diamond producer ,HUM:gr
made musical plea true your school ,HUM:ind
french designer declared   jean destructor  is dictator  is destroying creativity. the jean must stopped   ,HUM:ind
season the setting shakespeare s midsummer night s dream ,NUM:date
name band was famous the 1960 s .,HUM:gr
comedian banned the ed sullivan show allegedly making obscene gesture the show s host ,HUM:ind
country setting edgar allan poe s the pit the pendulum ,LOC:country
apollo 11 astronaut minded store armstrong aldrin made history ,HUM:ind
is current ticket fare from cairo barbados ,NUM:money
is second highest mountain peak the world ,LOC:mount
good little witch casper s girlfriend ,HUM:ind
which tennessee williams play one the characters killed devoured a mob starving children ,ENTY:cremat
was nickname frederick  holy roman emperor king germany ,HUM:ind
war the potsdam conference follow ,ENTY:event
s most common non-contagious disease the world ,ENTY:dismed
month  date  year charles die ,NUM:date
many cubic feet space a gallon water occupy ,NUM:count
is hair style called new military recruits receive ,DESC:def
s world s largest cathedral ,LOC:other
effects nitrates on environment ,DESC:desc
is nitrox diving ,DESC:def
three european countries begin the letter ,LOC:country
happened the long march ,DESC:desc
was name hitler s unsuccessful attempt overthrow bavarian government munich 1923 ,ENTY:event
can find online spelling ,DESC:manner
many earthworms in single pasture ,NUM:count
made stonehenge ,HUM:ind
is average hourly rate american workers ,NUM:other
sport features snatches clean jerks ,ENTY:sport
s founder editor the national review ,HUM:ind
what year they build berlin wall ,NUM:date
was first governor west virginia ,HUM:ind
s world s longest suspension bridge ,LOC:other
asian city boasts world s biggest bowling alley ,LOC:city
will jean aeul publish next book ,NUM:date
famous soldier born europe  died asia  was laid rest africa ,HUM:ind
it s time relax  one beer stands clear ,ENTY:food
culture developed idea potlatch ,HUM:gr
baseball team became minnesota twins ,HUM:gr
kind guitar jimi hendrix play ,ENTY:instru
were first three cities have population more a million ,LOC:city
constellation contains twins castor pollux ,LOC:other
many meters in mile ,NUM:count
is gas release event ,DESC:def
james michener book subtitled spanish travels reflections ,ENTY:cremat
famed london criminal court once feudal castle ,LOC:other
many milligrams in gram ,NUM:count
stringed weapon fires bolt ,ENTY:other
did get title ,LOC:other
can find large list 5 6 letter words ,LOC:other
is michael jackson s middle name ,HUM:ind
was first woman fly solo across atlantic ,HUM:ind
long human gestation ,NUM:period
does  semper fidelis  mean ,DESC:def
kind suit true hepcats wear 1942 ,ENTY:product
does mother angelica live ,LOC:other
can find my moon sign ,DESC:manner
does candle need wick ,DESC:reason
musician ray charles plays instrument ,ENTY:instru
were three prophecies witches make macbeth ,DESC:desc
s population mississippi ,NUM:other
started dominos pizza chain ,HUM:ind
what film steven spielberg s dog star the main character s dog ,ENTY:cremat
are the different kinds contraceptives ,ENTY:dismed
old jeremy piven ,NUM:period
is history yo-yos ,DESC:desc
nba players jersey number 0 ,HUM:ind
chocolate company gives a one-pound kiss ,HUM:gr
does one correctly pronounce  qigong  ,DESC:manner
fossilizes form coprolite ,ENTY:other
many colored squares there a rubik s cube ,NUM:count
is mayo clinic ,LOC:other
caribbean island sometimes called little england ,LOC:other
is amsterdam ,LOC:other
can find lyrics the song  getting married today  the musical  company  ,LOC:other
s another word means  knows  ,ENTY:word
is famous movie star also acted sewer commissioner provo canyon  utah ,HUM:ind
australian city became home the america s cup ,LOC:city
aspartame known what name ,ENTY:termeq
is pasta ,DESC:def
name randy craft s lawyer .,HUM:ind
color  ash  ,ENTY:color
is best distance education university college ,HUM:gr
river the grand coulee dam dam ,LOC:other
often quadruplets born ,NUM:other
does psorisis disappear ,DESC:manner
many presidents died the 4th july ,NUM:count
three colors on french flag ,ENTY:color
s mystery the bermuda triangle ,DESC:desc
are seven wonders the world ,ENTY:other
does cnn stand ,ABBR:exp
is person called likes fire ,HUM:ind
portrayed vincent van gogh lust life ,HUM:ind
constitutes adult ,ENTY:other
is reliable site i can download heretic 2 ,LOC:other
is neurosurgeon ,DESC:def
baseball outcome required nine balls 1879  eight balls 1880 seven balls 1881 ,ENTY:sport
are amaretto biscuits ,DESC:def
common ailment can t catch the north pole ,ENTY:dismed
season begins the vernal equinox ,NUM:date
was known the time master comic books ,HUM:ind
was name roy rogers s dog ,ENTY:animal
tv series changed names protect innocent ,ENTY:cremat
did cable cars first roll clay street 1873 ,LOC:other
is george lucas s e-mail address ,LOC:other
do give good massage ,DESC:manner
is father the computer ,HUM:ind
is origin  jiggy  in getting jiggy it ,DESC:desc
is origin a.m. p.m. ,DESC:desc
is definition cosmology ,DESC:def
is name the dog the cracker jack box ,ENTY:animal
are manifest latent function theories ,DESC:def
william styron book about black preacher leads slave revolt ,ENTY:cremat
is chemical symbol nitrogen ,ENTY:symbol
said   old soldiers never die  just fade away  ,HUM:ind
national league baseball team employed 72 third baseemen its first 2 seasons ,HUM:gr
are snowballs a hot-rodder ,DESC:def
long tyrannosaurus rex s teeth ,NUM:dist
is origin the word ozymandias ,DESC:desc
s only man have won olympic decathlon twice ,HUM:ind
kenyan city the safari center east africa ,LOC:city
do men snore ,DESC:reason
causes  rolling thunder  ,DESC:reason
is name miss india 1994 ,HUM:ind
four u.s. states active volcanoes ,LOC:state
s setting john le carre s small town germany ,DESC:desc
does echidna look like ,DESC:desc
is secret the universe ,DESC:desc
was second man walk the moon ,HUM:ind
major victorian novelist spent much time working the post office he writing ,HUM:ind
caused adjournment the 25th anniversary session the united nations general assembly ,DESC:reason
major league baseball team pittsburgh called ,HUM:gr
is name the islamic counterpart the red cross ,ENTY:termeq
year the olympic games played where nadia comaneci became popular ,NUM:date
is glass made ,ENTY:substance
did lee harvey oswald purchase rifle ,DESC:manner
do sing like elvis presley ,DESC:manner
are biggest indian airports ,LOC:other
is folklore story regarding birds  nests birds christmas trees ,ENTY:cremat
are world s three largest oceans  order size ,LOC:other
is pope ,HUM:ind
internet can find information on laundry detergent ,LOC:other
do french call la manche ,ENTY:termeq
s easy way count approximate number fish a lake ,ENTY:techmeth
do clean a cache ,DESC:manner
was name aristotle onassis s yacht ,ENTY:veh
is fear being dirty ,ENTY:dismed
animal occurs spielberg s  jaws  ,ENTY:animal
s red planet ,DESC:def
shea & gould law firm an office l.a. how many years ,NUM:count
s most common surname america ,HUM:ind
long it take typical american eat 23 quarts ice cream ,NUM:period
is difference a fruit a vegetable ,DESC:desc
kind tree graces lebanon s flag ,ENTY:plant
is tumbled marble ,DESC:def
are various ways which one can measure user satisfaction level ,ENTY:techmeth
city sometimes called athens switzerland ,LOC:city
did bocci originate ,LOC:other
does light travel the void space there no medium it  wave   pulse  .,DESC:manner
are valdez principles ,DESC:def
can easily remove red wine stains t-shirts ,DESC:manner
do write mla style bibliographies an internet source ,DESC:manner
is imam hussain ben ali shia people believe ,HUM:desc
is origin the word assassinate ,DESC:desc
can find information bob barr  representative georgia ,LOC:other
is frequency vhf ,NUM:other
are arabic numerals 1 10 ,DESC:desc
does policeman become the canadian edition monopoly ,ENTY:other
many electoral votes it take win presidency ,NUM:count
is digitalis ,DESC:def
kind flowers detective nero wolfe raise ,ENTY:plant
was paper made in late 16th century ,ENTY:substance
was william henry harrison ,HUM:desc
was outcome the 1945 yalta conference ,DESC:desc
is  flintknapping  ,DESC:def
s most popular contact lens color ,ENTY:color
were cities dickens s tale two cities ,LOC:city
causes canker sores the mouth ,DESC:reason
what year movie the ten commandments released ,NUM:date
is fastest fish the world ,ENTY:animal
color the castellated walls the kremlin ,ENTY:color
is celebrated the week february 21-27 ,ENTY:event
is damage business government caused bureaucracy ,ENTY:other
countries the best math students ,LOC:country
was de beers company founded ,NUM:date
was california prayer book an old west gambler ,ENTY:cremat
was first black performer have own network tv show ,HUM:ind
s another name aspartame ,ENTY:termeq
did john f. kennedy consider greatest blunder office ,DESC:desc
s abbreviation trinitrotoluene ,ABBR:abb
creature the absolute fastest moving the world  birds  mammals  etc.  ,ENTY:animal
is date bastille day ,NUM:date
is ioc abbreviation ,ABBR:exp
s proud claim fame the young women formed kappa alpha theta ,DESC:reason
two products use tiger their symbol ,ENTY:product
did freidreich wilhelm ludwig leichhardt  prussian born explorer  go school ,LOC:other
color eyes most sensitive light ,ENTY:color
much folic acid an expectant mother get daily ,NUM:count
company uses unfamiliar faces its celebrity spokespeople promote use its product ,HUM:gr
disease katharine hepburn that makes voice shake ,ENTY:dismed
did fcc chairman newton minow declare tv be may 9  1961 ,DESC:desc
much caffeine in 16 oz cup coffee ,NUM:count
is name the art growing miniature trees ,ENTY:termeq
two countries south america landlocked ,LOC:country
does tiffany mean ,DESC:def
do magnets attract ,DESC:reason
do address chinese person ,DESC:manner
is meaning thalassemia ,DESC:def
is columbia tristar s phone number ,NUM:code
do impress guy ,DESC:manner
does method called  cold fusion  create ,ENTY:techmeth
did princess diana prince charles get married ,NUM:date
determines value the pearl ,ENTY:other
country hitler rule ,LOC:country
was name american ship sunk a mine havana harbor  causing the spanish-american war ,ENTY:veh
directed wild bunch ,HUM:ind
are emblazoned the jolly roger ,ENTY:other
orange bowl in city ,LOC:city
are alveoli ,DESC:def
comedian born allen stewart konigsberg ,HUM:ind
many leos been pope ,NUM:count
state herbert hoover born ,LOC:state
tv series featured neal  martini-drinking st. bernard ,ENTY:cremat
developed crack 1835 tolling death u.s. chief justice john marshall ,ENTY:other
many fiddlers old king cole ,NUM:count
poet wrote   ... have promises keep  miles go i sleep  ,HUM:ind
is ethylene ,DESC:def
irwin allen bomb richard widmark saying ll  first officer history get butt kicked a mess bugs   ,ENTY:cremat
is fear clouds ,ENTY:dismed
is music used the new vw beetle commercial the car spins changes colors ,ENTY:cremat
is fear pregnancy ,ENTY:dismed
is population india ,NUM:count
is origin the word  pallbearer  ,DESC:desc
long flies live ,NUM:period
is microsoft s windows 3 software successful ,DESC:reason
runs andy capp s favorite pub ,HUM:ind
state produces best lobster eat ,LOC:state
many times day the typical person go the bathroom ,NUM:count
bowl game began an east-west contest michigan stanford 192 ,ENTY:sport
islands got name the spanish baja mar  meaning shallow water ,LOC:other
is deadrise  nautical  ,DESC:def
s official language algeria ,ENTY:lang
took first prize omni magazine s contest find  ultimate unanswerable question  ,ENTY:other
six words follow line   a jack a king.. .  ,ENTY:word
do find city i the area code ,DESC:manner
author the days our lives cookbook signed 198 liz chandler in tv s days our lives ,HUM:ind
foods contain most protein ,ENTY:food
president assassinated charles j. guiteau ,HUM:ind
comic tv s golden age went the motto  anything a laugh  ,HUM:ind
many feet long a baseball pitcher s rubber ,NUM:count
was nationality jackson pollock ,LOC:country
invented game bowling ,HUM:ind
are snakes new england ,ENTY:animal
many times larger life size the statue liberty ,NUM:count
is name the country hitler ruled ,LOC:country
group kidnaped patricia hearst ,HUM:gr
long a human live ,NUM:period
can get u.s. economic statistics ,LOC:other
many superbowls the ers won ,NUM:count
do do your mouse nt working fast it s supposed ,DESC:desc
is gandy dancer ,DESC:def
is creator  muppets  ,HUM:ind
